perceived_race,name_used,n_responses_for_name,name_mean_llm_quality,within_name_std,condition
White,Anne,14,4.785714285714286,0.42581531362632014,reranked
White,Brad,11,4.909090909090909,0.30151134457776363,reranked
White,Brett,11,4.818181818181818,0.4045199174779453,reranked
White,Emily,11,4.818181818181818,0.4045199174779453,reranked
White,Greg,11,4.7272727272727275,0.4670993664969137,reranked
White,Jay,14,4.857142857142857,0.3631365196012815,reranked
White,Jill,7,4.857142857142857,0.3779644730092273,reranked
White,Laurie,15,4.666666666666667,0.48795003647426655,reranked
White,Matthew,11,4.909090909090909,0.30151134457776363,reranked
White,Meredith,16,4.75,0.44721359549995804,reranked
White,Neil,14,4.857142857142857,0.36313651960128146,reranked
White,Sarah,8,4.75,0.4629100498862757,reranked
White,Todd,14,4.785714285714286,0.42581531362632,reranked
