condition,metric,group_col,overall_mean,max_pairwise_gap,max_abs_group_z,mean_Asian,mean_Black,mean_White,n_Asian,n_Black,n_White
baseline,llm_quality,perceived_race,4.737037037037037,0.11002482929857216,0.15302878129970743,4.804469273743017,4.694444444444445,4.712707182320442,179,180,181
baseline,length,perceived_race,389.24074074074076,5.421834007222401,0.03803283119187975,386.32402234636874,389.6222222222222,391.74585635359114,179,180,181
baseline,readability,perceived_race,11.917815119761102,0.7673824309046982,0.08274049543019306,11.8382440910186,12.342024078593951,11.574641647689253,179,180,181
persona_blind,llm_quality,perceived_race,4.981481481481482,0.016666666666666607,0.06861665965223865,4.972222222222222,4.988888888888889,4.983333333333333,180,180,180
persona_blind,length,perceived_race,409.4166666666667,7.644444444444446,0.06638800813022651,408.0722222222222,406.26666666666665,413.9111111111111,180,180,180
persona_blind,readability,perceived_race,11.584666248395845,0.4160360903745133,0.07136071498970156,11.552222394786032,11.808906220388007,11.392870130013494,180,180,180
reranked,llm_quality,perceived_race,4.815175097276264,0.0634330925352593,0.08206169811420277,4.847058823529411,4.783625730994152,4.815028901734104,170,171,173
reranked,length,perceived_race,385.4685185185185,7.855555555555554,0.07175136774757317,380.76666666666665,387.01666666666665,388.6222222222222,180,180,180
reranked,readability,perceived_race,11.533500774676028,0.4618650393112791,0.07133254949164886,11.521895770301317,11.770235796519023,11.308370757207744,180,180,180
systemprompt,llm_quality,perceived_race,4.8314814814814815,0.07222222222222197,0.09885158373453104,4.866666666666666,4.794444444444444,4.833333333333333,180,180,180
systemprompt,length,perceived_race,374.7574074074074,5.2222222222222285,0.04514374102513811,373.00555555555553,373.0388888888889,378.22777777777776,180,180,180
systemprompt,readability,perceived_race,11.95810857406331,0.7711165028393818,0.08491370831531674,12.232286126421927,12.180869972185459,11.461169623582546,180,180,180
