condition,race,n_valid_responses,n_names,race_mean_llm_quality,within_race_name_mean_variance,within_race_name_mean_sd,within_race_name_mean_range,between_race_mean_variance_condition,between_race_mean_range_condition,within_to_between_variance_ratio
baseline,Asian,179,11,4.804469273743017,0.007889225449383603,0.08882131190983165,0.3166666666666673,0.003476545346525377,0.11002482929857216,2.2692715506410597
baseline,Black,180,12,4.694444444444445,0.018403025459525504,0.1356577511958882,0.42307692307692335,0.003476545346525377,0.11002482929857216,5.293480632409514
baseline,White,181,14,4.712707182320442,0.007169801875288822,0.08467468261108997,0.3039215686274508,0.003476545346525377,0.11002482929857216,2.062335209421232
persona_blind,Asian,180,11,4.972222222222222,0.0008866507565961496,0.02977668142349227,0.07142857142857117,7.201646090534928e-05,0.016666666666666607,12.311779077306621
persona_blind,Black,180,12,4.988888888888889,0.0006327598905723881,0.025154719051748285,0.06666666666666643,7.201646090534928e-05,0.016666666666666607,8.786323051948079
persona_blind,White,180,14,4.983333333333333,0.0010171952780125798,0.03189349899293867,0.08333333333333304,7.201646090534928e-05,0.016666666666666607,14.124483003260494
reranked,Asian,170,11,4.847058823529411,0.00410489370837199,0.0640694444206596,0.2142857142857144,0.0010059720418871415,0.0634330925352593,4.080524644274867
reranked,Black,171,12,4.783625730994152,0.0056669737251132234,0.07527930475976265,0.22916666666666696,0.0010059720418871415,0.0634330925352593,5.63333123501358
reranked,White,173,14,4.815028901734104,0.005992273628376353,0.07740977734353945,0.27083333333333304,0.0010059720418871415,0.0634330925352593,5.956699966666288
